Participant,Experiment_Duration,Date_OSF,Date,Time,Browser,Mobile,Platform,Screen_Width,Screen_Height,Source,Gender,Age,Education,Discipline,Student,Ethnicity,Country,SexualOrientation,SexualStatus,Hexaco_Duration,HEXACO18_HonestyHumility_Sincerity_1_NR,HEXACO18_HonestyHumility_GreedAvoidance_2_R,HEXACO18_HonestyHumility_Modesty_3_R,HEXACO18_Emotionality_Fearfulness_4_R,HEXACO18_Emotionality_Dependence_5_NR,HEXACO18_Emotionality_Anxiety_6_NR,HEXACO18_Extraversion_SocialSelfEsteem_7_R,HEXACO18_Extraversion_SocialBoldness_8_R,HEXACO18_Extraversion_Liveliness_9_R,HEXACO18_Agreeableness_Forgiveness_10_NR,HEXACO18_Agreeableness_Gentleness_11_NR,HEXACO18_Agreeableness_Patience_12_R,HEXACO18_Conscientiousnes_Diligence_13_R,HEXACO18_Conscientiousnes_Prudence_14_R,HEXACO18_Conscientiousnes_Organization_15_R,HEXACO18_Openness_Unconventionality_16_R,HEXACO18_Openness_AestheticAppreciation_17_NR,HEXACO18_Openness_Creativity_18_NR,Bait_Duration,BAIT_AI_Knowledge,BAIT_6_EnvironmentReal,BAIT_12_PositiveAttitutes,BAIT_5_ImitatingReality,BAIT_9_NegativeAttitutes,BAIT_4_VideosIssues,BAIT_3_VideosRealistic,BAIT_7_TextRealistic,BAIT_8_TextIssues,BAIT_2_ImagesIssues,BAIT_1_ImagesRealistic,BAIT_10_NegativeAttitutes,BAIT_11_PositiveAttitutes,Instruction_Duration1,Instruction_Duration2,Eyetracking_Validation1_Mean,Eyetracking_Validation1_Max,Eyetracking_Validation1_Min,Eyetracking_Validation1_Distance,Eyetracking_Validation2_Mean,Eyetracking_Validation2_Max,Eyetracking_Validation2_Min,Eyetracking_Validation2_Distance,Ethnicity-Comment,Discipline-Comment
S011,40.67541666666667,2024-08-02 08:51:47.097474+00:00,02/08/2024,10:10:55,chrome,False,Windows 10,1348.0,598.0,sof1,Male,56,Master,"Business, Economics",False,White,Spain,Heterosexual,In a relationship and not open to dating,1.7007166666666669,4.0,3.0,3.0,5.0,5.0,5.0,3.0,5.0,6.0,5.0,5.0,4.0,3.0,3.0,4.0,4.0,2.0,1.0,1.1595833333333334,5.0,5.0,5.0,6.0,5.0,6.0,4.0,5.0,4.0,5.0,6.0,6.0,4.0,90.877,44.396,2.39766081871345,22.22222222222222,0.0,74.95923207290392,5.589682539682539,18.0,0.0,97.40770032375123,,
S012,46.1466,2024-08-02 12:05:41.796169+00:00,02/08/2024,12:19:25,chrome,False,Mac OS,916.0,934.0,sof1,Male,22,Master,"Mathematics, Physics",True,White,United Kingdom,Heterosexual,Single and open to dating,1.96695,4.0,0.0,1.0,4.0,4.0,3.0,0.0,2.0,0.0,4.0,3.0,0.0,1.0,0.0,1.0,2.0,6.0,5.0,1.9399666666666666,4.0,3.0,3.0,1.0,3.0,2.0,4.0,1.0,4.0,3.0,4.0,4.0,5.0,46.45,19.189,5.59322033898305,25.423728813559322,0.0,79.07059693480494,1.8644067796610169,6.779661016949152,0.0,170.7913877662956,,
S013,32.05025,2024-08-02 14:51:23.354573+00:00,02/08/2024,09:19:11,chrome,False,Windows 10,1920.0,919.0,sof1,Female,23,Bachelor,"Psychology, Neuroscience",False,White,United States,Bisexual,Single and not open to dating,1.1218000000000001,5.0,1.0,4.0,1.0,4.0,5.0,2.0,1.0,0.0,2.0,2.0,5.0,1.0,3.0,4.0,1.0,6.0,6.0,0.9891166666666666,1.0,2.0,4.0,2.0,5.0,2.0,4.0,2.0,4.0,3.0,5.0,4.0,5.0,40.572,22.214,9.05367231638418,30.0,0.0,109.51861309357807,7.57909604519774,32.20338983050847,0.0,99.10922354537783,,
S014,36.168933333333335,2024-08-04 14:14:00.428128+00:00,04/08/2024,06:37:44,chrome,False,Mac OS,1426.0,704.0,sof1,Male,56,Master,"Literature, Languages",False,Mixed,United States,Heterosexual,In a relationship and not open to dating,1.95555,5.0,0.0,5.0,5.0,5.0,4.0,2.0,0.0,2.0,2.0,3.0,4.0,5.0,4.0,5.0,0.0,6.0,4.0,1.5159833333333335,2.0,2.0,4.0,0.0,6.0,4.0,2.0,3.0,4.0,4.0,5.0,6.0,3.0,73.684,23.722,3.720338983050847,22.033898305084744,0.0,102.35248420319677,2.3361581920903953,10.0,0.0,179.02341550860038,,
S015,33.2791,2024-08-04 19:57:04.514341+00:00,04/08/2024,21:23:42,chrome,False,Windows 10,1536.0,730.0,sof1,Female,58,Bachelor,"Literature, Languages",False,White,Spain,Heterosexual,In a relationship and not open to dating,0.9630333333333333,0.0,0.0,0.0,2.0,4.0,5.0,0.0,3.0,3.0,4.0,6.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.9641333333333333,1.0,3.0,4.0,1.0,3.0,4.0,4.0,0.0,6.0,5.0,5.0,6.0,4.0,43.577,8.833,2.3191894312583967,7.142857142857142,0.0,130.15459995593017,3.0084745762711864,23.333333333333332,0.0,141.7170153784379,,
S016,34.16218333333334,2024-08-06 12:14:40.420691+00:00,06/08/2024,13:40:23,chrome,False,Windows 10,1536.0,776.0,sof1,Female,25,Master,"Psychology, Neuroscience",True,Mixed,Spain,Heterosexual,In a relationship and not open to dating,1.1614166666666668,6.0,0.0,1.0,3.0,6.0,6.0,0.0,4.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.7193833333333333,0.0,4.0,0.0,5.0,6.0,5.0,3.0,3.0,6.0,3.0,5.0,6.0,0.0,3.075,6.946,,,,,,,,,,
S017,57.05618333333334,2024-08-06 20:18:42.599144+00:00,06/08/2024,21:21:32,edge-chromium,False,Windows 10,1318.0,654.0,sof1,Female,58,Master,"Literature, Languages",False,White,Spain,Heterosexual,In a relationship and not open to dating,6.375283333333333,5.0,2.0,3.0,3.0,4.0,5.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,4.0,6.0,5.0,3.0290666666666666,2.0,6.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,2.0,5.0,5.0,4.0,130.201,56.149,0.8333333333333334,6.666666666666667,0.0,103.54860473619647,1.3562295569432052,8.47457627118644,0.0,191.60735468488085,,
S018,27.432399999999998,2024-08-07 10:37:21.953055+00:00,07/08/2024,12:09:58,edge-chromium,False,Windows 10,1358.0,654.0,sof1,Female,23,Bachelor,"Mathematics, Physics",True,White,Spain,Heterosexual,In a relationship and not open to dating,1.3856,6.0,0.0,0.0,0.0,6.0,6.0,2.0,1.0,1.0,6.0,6.0,6.0,1.0,4.0,5.0,1.0,0.0,4.0,0.8005166666666667,4.0,0.0,1.0,3.0,2.0,3.0,5.0,3.0,5.0,5.0,4.0,2.0,3.0,29.699,17.449,,,,,,,,,,
S019,80.41313333333332,2024-08-07 13:54:53.816323+00:00,07/08/2024,14:34:22,safari,False,Mac OS,1440.0,727.0,sof1,Male,19,High school,,True,White,Spain,Heterosexual,Single and open to dating,2.881066666666667,6.0,1.0,1.0,5.0,1.0,0.0,0.0,4.0,0.0,5.0,1.0,5.0,1.0,1.0,5.0,3.0,6.0,6.0,1.6056333333333332,1.0,6.0,3.0,4.0,6.0,5.0,3.0,4.0,3.0,2.0,6.0,5.0,6.0,88.999,21.314,3.4482758620689657,15.517241379310345,0.0,56.38259098940256,13.275862068965518,55.172413793103445,0.0,101.50674761366635,,
S020,34.99413333333334,2024-08-07 15:19:31.231497+00:00,07/08/2024,15:44:22,chrome,False,Windows 10,1536.0,730.0,sof1,Male,22,Bachelor,"Biology, Chemistry, Physics",False,,United Kingdom,Heterosexual,Single and not open to dating,1.8348,4.0,1.0,3.0,2.0,0.0,4.0,0.0,4.0,2.0,1.0,2.0,4.0,4.0,0.0,1.0,3.0,2.0,6.0,1.1585,1.0,5.0,4.0,3.0,4.0,6.0,1.0,1.0,5.0,2.0,6.0,5.0,4.0,35.884,21.638,1.1723163841807909,6.666666666666667,0.0,127.09075704609965,1.6984322290237575,6.666666666666667,0.0,154.92240918333735,,
